"","FECHA","TC_NOMINAL","RESERVA_INT","RENDIMIENTO_BONO","ORO","PETROLEO","ANIO"
"1",2019-06-10,3.333,65761.06874169,5.0136,1328.6,53.33,2019
"2",2019-06-11,3.326,65773.8549213,4.944,1324.3,53.3,2019
"3",2019-06-12,3.329,65782.89735293,4.8562,1332.35,51.13,2019
"4",2019-06-13,3.33,66194.58965062,4.8243,1335.9,52.38,2019
"5",2019-06-14,3.346,66212.25092942,4.7111,1351.25,52.47,2019
"6",2019-06-15,3.346,66212.25092942,4.7111,1351.25,52.47,2019
"7",2019-06-16,3.346,66212.25092942,4.7111,1351.25,52.47,2019
"8",2019-06-17,3.347,66360.43437399,4.7591,1341.3,51.94,2019
"9",2019-06-18,3.332,66528.9957979,4.717,1341.35,53.86,2019
"10",2019-06-19,3.329,66407.32689369,4.7315,1344.05,53.74,2019
"11",2019-06-20,3.31,66908.89366082,4.5651,1379.5,56.88,2019
"12",2019-06-21,3.3,67059.30608201,4.6098,1397.15,57.35,2019
"13",2019-06-22,3.3,67059.30608201,4.6098,1397.15,57.35,2019
"14",2019-06-23,3.3,67059.30608201,4.6098,1397.15,57.35,2019
"15",2019-06-24,3.301,67010.91998577,4.6191,1405.7,57.73,2019
"16",2019-06-25,3.304,66995.34055199,4.6305,1431.4,57.63,2019
"17",2019-06-26,3.293,66901.67399945,4.7199,1403.95,59.17,2019
"18",2019-06-27,3.289,66437.76146327,4.768,1402.5,59.18,2019
"19",2019-06-28,3.294,66512.57128402,4.757,1409,58.2,2019
"20",2019-06-29,3.294,66512.57128402,4.757,1409,58.2,2019
"21",2019-06-30,3.294,66512.57128402,4.757,1409,58.2,2019
"22",2019-07-01,3.289,66818.18596988,4.6586,1390.1,58.91,2019
"23",2019-07-02,3.294,66850.93867521,4.6212,1391.05,56,2019
"24",2019-07-03,3.291,66801.82127099,4.548,1413.5,57.06,2019
"25",2019-07-04,3.291,66801.41292345,4.5375,1414.9,57.06,2019
"26",2019-07-05,3.29,66598.15332795,4.5464,1388.65,57.06,2019
"27",2019-07-06,3.29,66598.15332795,4.5464,1388.65,57.06,2019
"28",2019-07-07,3.29,66598.15332795,4.5464,1388.65,57.06,2019
"29",2019-07-08,3.285,66584.97531337,4.5267,1400.1,57.35,2019
"30",2019-07-09,3.296,66688.95079185,4.5409,1391.55,57.57,2019
"31",2019-07-10,3.283,66739.49058804,4.5391,1408.3,60.28,2019
"32",2019-07-11,3.285,66882.00548139,4.5631,1413.75,59.93,2019
"33",2019-07-12,3.283,66960.57244303,4.5381,1407.6,59.99,2019
"34",2019-07-13,3.283,66960.57244303,4.5381,1407.6,59.99,2019
"35",2019-07-14,3.283,66960.57244303,4.5381,1407.6,59.99,2019
"36",2019-07-15,3.283,66889.41542776,4.459,1412.4,59.3,2019
"37",2019-07-16,3.287,66967.51444673,4.4361,1409.85,57.44,2019
"38",2019-07-17,3.288,67139.10743569,4.3717,1410.35,56.5,2019
"39",2019-07-18,3.286,67075.53330828,4.2933,1417.45,55.08,2019
"40",2019-07-19,3.282,66957.26491803,4.2351,1439.7,55.42,2019
"41",2019-07-20,3.282,66957.26491803,4.2351,1439.7,55.42,2019
"42",2019-07-21,3.282,66957.26491803,4.2351,1439.7,55.42,2019
"43",2019-07-22,3.285,66968.77057565,4.2479,1427.75,55.87,2019
"44",2019-07-23,3.295,67362.02205243,4.2804,1425.55,56.58,2019
"45",2019-07-24,3.294,67638.43788578,4.3298,1426.95,55.9,2019
"46",2019-07-25,3.296,67502.27458401,4.28,1416.1,55.88,2019
"47",2019-07-26,3.297,67004.16746922,4.2772,1420.4,56.04,2019
"48",2019-07-27,3.297,67004.16746922,4.2772,1420.4,56.04,2019
"49",2019-07-28,3.297,67004.16746922,4.2772,1420.4,56.04,2019
"50",2019-07-29,3.297,67004.16746922,4.2772,1419.05,56.85,2019
"51",2019-07-30,3.297,67004.16746922,4.2772,1425.9,58.04,2019
"52",2019-07-31,3.304,66753.01005561,4.412,1427.55,58.53,2019
"53",2019-08-01,3.326,67386.21326725,4.4122,1406.8,53.64,2019
"54",2019-08-02,3.355,67606.19921681,4.4359,1441.75,55.67,2019
"55",2019-08-03,3.355,67606.19921681,4.4359,1441.75,55.67,2019
"56",2019-08-04,3.355,67606.19921681,4.4359,1441.75,55.67,2019
"57",2019-08-05,3.386,67617.83178749,4.4829,1465.25,54.63,2019
"58",2019-08-06,3.375,67755.34430992,4.3771,1465.25,53.6,2019
"59",2019-08-07,3.388,67737.71741363,4.3376,1506.05,51.14,2019
"60",2019-08-08,3.373,68289.05264903,4.319,1495.75,52.6,2019
"61",2019-08-09,3.38,68324.29503262,4.2042,1497.7,54.41,2019
"62",2019-08-10,3.38,68324.29503262,4.2042,1497.7,54.41,2019
"63",2019-08-11,3.38,68324.29503262,4.2042,1497.7,54.41,2019
"64",2019-08-12,3.381,68200.99481794,4.1177,1504.7,54.98,2019
"65",2019-08-13,3.384,68118.13683945,4.1136,1498.4,57.05,2019
"66",2019-08-14,3.396,68115.85374629,4.1078,1513.25,55.16,2019
"67",2019-08-15,3.391,68208.88079726,4.1433,1515.65,54.51,2019
"68",2019-08-16,3.378,68158.93123941,4.0993,1515.25,54.83,2019
"69",2019-08-17,3.378,68158.93123941,4.0993,1515.25,54.83,2019
"70",2019-08-18,3.378,68158.93123941,4.0993,1515.25,54.83,2019
"71",2019-08-19,3.386,68059.87200417,4.175,1496.6,56.24,2019
"72",2019-08-20,3.382,68014.25415618,4.172,1504.55,56.18,2019
"73",2019-08-21,3.376,68088.15521876,4.173,1503.25,55.65,2019
"74",2019-08-22,3.374,68068.01741137,4.173,1502.05,55.33,2019
"75",2019-08-23,3.375,68117.54797369,4.163,1503.8,54.08,2019
"76",2019-08-24,3.375,68117.54797369,4.163,1503.8,54.08,2019
"77",2019-08-25,3.375,68117.54797369,4.163,1503.8,54.08,2019
"78",2019-08-26,3.382,68081.24987085,4.199,1503.8,53.54,2019
"79",2019-08-27,3.393,68333.96878621,4.196,1532.95,54.99,2019
"80",2019-08-28,3.401,68268.8792493,4.1781,1537.15,55.76,2019
