V1;Q1;Q2;Q7;Q8;Q11;Q13
419;46;1;1;0;1;4
420;28;0;0;1;0;5
421;44;0;1;0;0;10
423;57;0;0;1;0;8
424;65;0;0;1;0;8
425;30;0;0;1;0;8
426;37;0;0;1;0;7
427;43;0;0;1;1;8
428;37;0;0;1;0;7
429;40;0;0;0;1;5
431;25;1;1;0;0;5
433;45;0;1;0;0;7
434;34;0;0;1;0;7
435;35;1;0;0;1;8
436;30;1;0;0;0;7
437;59;0;1;0;1;7
438;29;0;0;0;0;6
439;36;1;1;0;0;7
440;30;0;0;1;0;7
441;57;0;0;1;0;8
443;26;0;0;1;0;7
444;29;0;0;1;0;7
445;22;0;1;1;0;5
446;55;0;0;0;0;7
450;54;0;0;1;0;7
451;61;0;0;1;0;6
452;38;0;1;0;1;6
453;37;0;0;1;1;7
454;34;1;0;1;1;7
456;35;1;0;0;0;7
457;36;0;1;0;0;9
459;46;0;0;1;0;8
461;43;0;0;1;0;9
462;47;0;1;0;1;7
463;42;0;0;0;1;7
464;44;1;0;1;1;6
466;25;0;0;1;0;8
467;64;0;0;0;0;8
468;39;0;0;0;1;8
469;39;0;0;1;1;5
470;35;0;0;0;1;8
471;38;0;1;0;0;4
472;25;0;0;1;0;7
473;41;1;1;1;1;7
475;39;0;0;1;1;7
476;29;0;0;1;0;9
478;40;0;0;1;1;7
479;33;1;0;0;1;7
480;39;0;0;0;1;8
481;44;0;0;1;1;8
482;46;1;1;1;1;4
483;31;0;0;0;0;6
485;37;0;0;0;0;8
486;43;0;0;1;0;9
490;25;0;0;1;0;8
491;44;1;0;1;1;6
492;49;1;0;1;1;5
493;41;0;0;0;0;9
497;25;1;0;1;0;7
514;34;0;1;0;1;5
515;35;0;0;0;1;8
518;55;0;0;1;1;8
522;46;0;0;1;1;7
524;35;1;0;1;1;7
525;42;0;1;0;1;5
526;44;1;0;0;1;8
527;28;0;0;1;0;8
528;55;0;0;0;0;9
529;32;0;0;1;1;7
530;37;1;0;1;0;8
534;69;0;0;1;0;9
535;63;0;0;0;0;7
536;42;0;0;1;1;7
537;34;0;0;1;1;6
538;69;0;0;0;0;7
539;63;1;0;1;0;7
541;65;1;0;0;0;9
544;46;0;0;1;1;7
548;44;0;0;1;1;7
551;38;0;0;0;1;8
553;33;0;0;1;1;5
554;56;0;0;1;0;8
556;68;1;0;1;0;8
558;59;1;0;1;0;9
561;57;0;0;0;1;7
563;40;0;0;0;1;9
565;40;0;1;1;1;6
566;23;1;0;1;0;7
567;71;1;0;1;1;8
568;35;1;0;0;0;7
570;46;0;0;1;1;8
571;62;1;0;1;0;7
572;59;0;1;1;0;8
573;58;0;0;1;0;8
576;68;0;0;0;0;4
577;52;0;0;1;1;6
578;23;0;0;1;0;8
579;41;0;0;1;1;7
580;59;1;0;0;1;7
581;36;0;0;1;1;7
582;35;0;0;1;0;11
583;41;0;0;0;1;8
586;51;1;1;0;1;8
587;37;0;0;1;0;9
588;32;1;0;1;0;7
589;37;0;0;0;1;6
593;42;0;0;1;1;7
596;60;1;1;1;0;7
598;65;1;0;0;0;18
599;68;0;0;1;0;6
600;46;0;0;0;1;8
602;66;0;0;1;0;8
603;39;0;0;1;1;7
604;53;0;0;1;0;7
609;54;1;0;1;1;6
610;71;1;0;1;1;8
611;36;0;0;1;1;7
612;42;0;0;1;1;8
613;33;0;0;1;1;5
614;47;0;0;1;0;7
615;37;0;0;1;1;8
616;42;1;1;0;1;8
617;44;0;0;1;1;6
618;50;0;0;1;1;7
619;51;1;1;0;1;7
621;44;1;0;1;0;7
622;40;0;0;1;1;5
623;64;1;0;1;0;8
624;34;1;0;1;1;9
625;47;0;0;0;0;6
629;27;0;0;1;0;8
630;35;0;0;1;0;7
631;25;0;0;1;0;9
632;64;0;0;0;0;7
634;32;0;1;1;0;8
635;44;0;0;0;1;6
636;65;1;0;1;0;8
637;64;0;0;1;0;5
638;50;0;0;1;0;10
639;55;0;0;1;0;6
640;24;0;0;0;0;5
641;38;0;1;0;1;8
642;36;1;1;1;1;8
643;62;0;0;1;1;5
644;42;0;0;0;0;10
646;55;0;0;1;0;6
647;30;0;0;1;1;6
648;39;0;1;0;1;5
649;33;0;1;1;0;8
651;30;0;0;1;0;9
653;36;0;1;0;1;5
654;43;0;0;0;1;7
655;33;0;0;1;0;8
