"edad","genero","primera_linea","trabajo_casa","niños_casa","promedio_sueño"
46,1,1,0,1,4
28,0,0,1,0,5
44,0,1,0,0,10
57,0,0,1,0,8
65,0,0,1,0,8
30,0,0,1,0,8
37,0,0,1,0,7
43,0,0,1,1,8
37,0,0,1,0,7
40,0,0,0,1,5
25,1,1,0,0,5
45,0,1,0,0,7
34,0,0,1,0,7
35,1,0,0,1,8
30,1,0,0,0,7
59,0,1,0,1,7
29,0,0,0,0,6
36,1,1,0,0,7
30,0,0,1,0,7
57,0,0,1,0,8
26,0,0,1,0,7
29,0,0,1,0,7
22,0,1,1,0,5
55,0,0,0,0,7
54,0,0,1,0,7
61,0,0,1,0,6
38,0,1,0,1,6
37,0,0,1,1,7
34,1,0,1,1,7
35,1,0,0,0,7
36,0,1,0,0,9
46,0,0,1,0,8
43,0,0,1,0,9
47,0,1,0,1,7
42,0,0,0,1,7
44,1,0,1,1,6
25,0,0,1,0,8
64,0,0,0,0,8
39,0,0,0,1,8
39,0,0,1,1,5
35,0,0,0,1,8
38,0,1,0,0,4
25,0,0,1,0,7
41,1,1,1,1,7
39,0,0,1,1,7
29,0,0,1,0,9
40,0,0,1,1,7
33,1,0,0,1,7
39,0,0,0,1,8
44,0,0,1,1,8
46,1,1,1,1,4
31,0,0,0,0,6
37,0,0,0,0,8
43,0,0,1,0,9
25,0,0,1,0,8
44,1,0,1,1,6
49,1,0,1,1,5
41,0,0,0,0,9
25,1,0,1,0,7
34,0,1,0,1,5
35,0,0,0,1,8
55,0,0,1,1,8
46,0,0,1,1,7
35,1,0,1,1,7
42,0,1,0,1,5
44,1,0,0,1,8
28,0,0,1,0,8
55,0,0,0,0,9
32,0,0,1,1,7
37,1,0,1,0,8
69,0,0,1,0,9
63,0,0,0,0,7
42,0,0,1,1,7
34,0,0,1,1,6
69,0,0,0,0,7
63,1,0,1,0,7
65,1,0,0,0,9
46,0,0,1,1,7
44,0,0,1,1,7
38,0,0,0,1,8
33,0,0,1,1,5
56,0,0,1,0,8
68,1,0,1,0,8
59,1,0,1,0,9
57,0,0,0,1,7
40,0,0,0,1,9
40,0,1,1,1,6
23,1,0,1,0,7
71,1,0,1,1,8
35,1,0,0,0,7
46,0,0,1,1,8
62,1,0,1,0,7
59,0,1,1,0,8
58,0,0,1,0,8
68,0,0,0,0,4
52,0,0,1,1,6
23,0,0,1,0,8
41,0,0,1,1,7
59,1,0,0,1,7
36,0,0,1,1,7
35,0,0,1,0,11
41,0,0,0,1,8
51,1,1,0,1,8
37,0,0,1,0,9
32,1,0,1,0,7
37,0,0,0,1,6
42,0,0,1,1,7
60,1,1,1,0,7
65,1,0,0,0,18
68,0,0,1,0,6
46,0,0,0,1,8
66,0,0,1,0,8
39,0,0,1,1,7
53,0,0,1,0,7
54,1,0,1,1,6
71,1,0,1,1,8
36,0,0,1,1,7
42,0,0,1,1,8
33,0,0,1,1,5
47,0,0,1,0,7
37,0,0,1,1,8
42,1,1,0,1,8
44,0,0,1,1,6
50,0,0,1,1,7
51,1,1,0,1,7
44,1,0,1,0,7
40,0,0,1,1,5
64,1,0,1,0,8
34,1,0,1,1,9
47,0,0,0,0,6
27,0,0,1,0,8
35,0,0,1,0,7
25,0,0,1,0,9
64,0,0,0,0,7
32,0,1,1,0,8
44,0,0,0,1,6
65,1,0,1,0,8
64,0,0,1,0,5
50,0,0,1,0,10
55,0,0,1,0,6
24,0,0,0,0,5
38,0,1,0,1,8
36,1,1,1,1,8
62,0,0,1,1,5
42,0,0,0,0,10
55,0,0,1,0,6
30,0,0,1,1,6
39,0,1,0,1,5
33,0,1,1,0,8
30,0,0,1,0,9
36,0,1,0,1,5
43,0,0,0,1,7
33,0,0,1,0,8
41,0,0,1,1,7
54,0,0,1,0,8
57,0,0,1,0,8
48,1,1,0,1,4
33,0,0,1,0,8
35,0,0,0,1,9
48,0,0,1,0,5
62,0,0,0,0,13
59,0,0,1,0,7
52,0,0,0,0,8
46,0,0,0,1,4
39,0,0,1,0,7
50,1,1,0,0,8
40,0,0,0,1,6
37,0,1,0,1,4
27,0,0,1,0,5
65,0,0,1,0,5
23,0,1,0,0,7
29,0,0,1,0,9
48,0,0,0,1,6
34,0,0,1,0,8
63,0,0,0,0,7
30,0,1,0,0,10
63,0,0,0,1,6
32,0,0,1,0,10
46,0,0,1,1,6
50,0,0,0,1,6
46,0,0,1,1,7
47,0,0,1,1,8
45,1,0,0,1,7
53,0,0,1,1,8
31,0,1,0,0,7
62,0,0,1,0,7
24,0,0,1,0,8
58,0,0,0,0,8
32,0,0,1,0,6
46,0,1,0,1,6
34,0,0,0,0,7
49,1,0,0,1,7
63,0,0,0,0,5
48,0,0,0,1,7
63,0,0,1,0,5
57,1,0,1,0,7
32,0,1,0,0,8
26,0,0,1,0,8
57,0,0,1,0,7
64,0,0,1,0,8
64,1,0,1,0,7
30,0,0,0,0,6
44,0,0,0,1,8
56,1,0,1,0,5
52,0,0,1,1,8
35,0,0,1,1,8
31,0,0,0,0,8
58,0,0,0,0,6
51,0,0,1,1,8
41,0,0,1,1,8
66,0,0,1,0,7
36,0,0,1,1,7
31,0,0,1,0,8
51,0,0,0,0,7
42,0,1,0,1,6
35,0,1,0,0,4
40,1,0,1,0,3
58,0,0,1,0,9
57,0,0,0,0,5
44,0,0,1,1,9
36,0,1,0,1,8
27,0,1,0,0,6
68,0,0,0,0,5
44,0,1,0,1,4
44,0,0,1,1,4
54,0,1,0,0,6
61,1,0,0,0,6
42,0,1,0,1,5
38,0,1,0,0,5
58,0,0,1,0,8
53,0,1,0,0,10
61,0,0,1,0,6
19,0,1,0,0,5
60,0,0,0,0,8
44,0,0,0,0,5
55,0,0,1,1,5
49,0,0,1,0,8
60,1,0,1,1,7
64,0,0,1,1,6
28,0,1,0,0,6
66,1,0,1,0,8
52,0,0,0,1,7
67,1,0,1,0,7
56,0,0,0,0,6
27,0,0,1,0,10
51,0,1,0,0,8
52,0,1,0,1,6
38,1,1,0,0,5
56,1,0,0,0,6
64,0,0,1,0,7
38,0,1,0,1,6
65,0,1,0,0,6
37,0,1,0,1,5
43,1,1,0,1,5
41,1,0,1,1,5
28,0,1,0,0,7
36,0,0,0,1,8
37,0,0,0,1,5
30,0,1,0,1,5
39,0,1,1,1,8
35,0,1,0,1,5
34,0,1,0,1,4
51,0,1,0,1,4
42,0,0,1,0,8
40,0,0,1,1,8
38,0,1,0,1,3
63,0,1,0,0,7
68,0,0,0,0,4
33,0,0,0,0,7
52,0,1,0,1,5
42,0,1,0,1,7
31,0,1,0,0,4
61,0,0,0,0,7
23,0,1,0,0,6
44,0,0,1,0,6
30,0,0,1,0,4
54,0,0,1,0,6
52,0,0,1,0,5
33,0,1,0,1,5
54,0,1,1,1,5
60,0,0,0,0,8
42,0,0,1,1,8
36,0,1,0,1,5
49,0,0,0,0,6
59,1,0,0,0,7
34,0,0,1,0,7
48,0,1,0,1,9
46,0,0,0,0,6
34,0,0,1,0,7
34,0,0,1,0,8
41,0,0,1,1,7
54,0,1,0,1,4
36,0,0,1,0,5
44,0,1,0,1,5
26,0,0,0,0,6
54,0,0,0,0,8
53,0,1,0,0,6
27,0,0,0,0,5
34,1,0,1,0,6
55,0,0,1,0,5
35,0,1,0,1,4
50,1,1,0,0,7
38,0,0,1,0,6
56,1,0,0,0,6
25,0,0,1,0,10
35,1,1,0,1,6
65,1,1,1,0,5
26,0,1,0,0,7
41,0,0,1,0,8
39,1,1,0,1,6
43,0,0,1,1,6
43,1,0,1,1,8
61,0,0,0,0,11
26,0,0,1,0,8
23,0,1,1,0,6
29,0,0,1,0,7
47,0,0,1,1,7
39,0,0,1,1,6
36,0,1,0,1,4
66,0,0,0,0,8
41,0,1,0,1,5
