AREA,visita_monumentohistorico,visita_monumentoarqueologico,visita_museo,asistencia_teatro,asistencia_danza,asistencia_espectaculomusical,asistencia_cine,asistencia_biblioteca,adquirir_libro,sexo,region_natural,ESTRATO,indicador
1,1,0,1,0,0,1,0,0,1,1,1,2,4.444444444444445
1,0,0,0,0,0,0,0,0,0,1,1,2,0
1,0,0,0,0,0,0,0,0,0,1,1,2,0
1,0,0,0,0,0,0,0,0,0,2,1,2,0
1,0,0,0,0,0,0,0,0,0,1,1,2,0
1,0,0,0,0,0,1,1,0,0,2,1,2,2.2222222222222223
1,0,0,0,0,0,0,0,0,0,2,1,2,0
1,0,0,0,0,0,0,0,0,0,1,1,2,0
1,0,0,0,0,0,0,0,0,0,1,1,3,0
1,0,0,0,0,0,0,0,0,0,2,1,3,0
1,0,0,0,0,0,0,0,0,0,1,1,3,0
1,0,0,0,0,0,0,0,0,0,1,1,3,0
1,0,0,0,0,0,0,0,0,0,1,1,3,0
1,0,0,0,0,0,0,0,0,0,2,1,3,0
1,0,0,0,0,0,0,0,0,0,1,1,3,0
1,0,0,0,0,0,0,0,0,0,1,1,3,0
1,0,0,0,0,0,0,0,0,0,1,1,4,0
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,0,0,0,0,0,0,1,0,0,2,1,4,1.1111111111111112
1,0,0,0,0,0,0,0,0,1,2,1,4,1.1111111111111112
1,0,0,0,0,0,0,1,0,0,2,1,4,1.1111111111111112
1,1,0,0,0,0,0,0,0,1,2,1,4,2.2222222222222223
1,0,0,0,0,0,0,0,0,1,2,1,4,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,0,0,0,0,1,1,0,0,1,2,1,3,3.333333333333333
1,0,0,0,0,0,0,0,0,0,1,1,3,0
1,0,0,0,0,0,0,0,0,0,1,1,3,0
1,1,1,1,0,0,0,0,0,0,1,1,3,3.333333333333333
1,0,0,0,0,0,0,0,0,0,2,1,3,0
1,0,0,0,0,0,0,0,0,0,2,1,3,0
1,0,0,0,0,0,0,0,0,0,1,1,3,0
1,0,0,0,0,0,0,0,0,0,1,1,3,0
1,0,0,0,0,0,0,0,0,0,2,1,2,0
1,1,0,0,0,0,0,1,0,1,2,1,2,3.333333333333333
1,0,0,0,0,1,0,1,0,1,2,1,2,3.333333333333333
1,1,0,0,0,0,1,0,0,0,2,1,2,2.2222222222222223
1,0,0,0,1,0,1,0,0,0,1,1,2,2.2222222222222223
1,0,0,0,1,0,1,1,0,1,1,1,2,4.444444444444445
1,0,0,0,0,0,0,0,0,0,1,1,2,0
1,0,0,0,0,0,0,1,0,0,1,1,2,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,2,1,2,0
1,0,0,0,0,0,0,0,0,0,2,1,2,0
1,0,0,0,0,0,0,0,0,0,2,1,2,0
1,0,0,1,0,1,0,0,0,1,1,1,2,3.333333333333333
1,0,0,0,0,0,0,0,0,0,2,1,2,0
1,0,0,0,0,0,0,0,0,0,1,1,4,0
1,0,1,0,0,0,0,0,0,0,2,1,4,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,1,0,1,1,0,0,0,0,0,2,1,4,3.333333333333333
1,0,0,0,0,0,0,0,0,0,1,1,4,0
1,0,0,0,0,0,0,0,0,0,1,1,4,0
1,0,0,0,0,0,0,0,0,0,2,1,4,0
1,0,0,0,0,0,0,0,0,0,1,1,4,0
1,0,0,0,0,0,0,0,0,1,1,1,4,1.1111111111111112
1,1,0,0,0,0,0,0,0,0,2,1,3,1.1111111111111112
1,0,0,0,0,0,0,0,0,0,1,1,3,0
1,1,0,0,0,0,0,1,0,0,2,1,3,2.2222222222222223
1,0,0,0,0,0,0,0,0,0,2,1,3,0
1,1,0,0,1,0,0,1,0,0,1,1,3,3.333333333333333
1,0,0,0,0,0,0,1,0,1,2,1,3,2.2222222222222223
1,0,0,0,0,0,0,0,0,0,1,1,3,0
1,0,0,0,0,0,0,0,0,0,2,1,3,0
1,0,0,0,0,0,0,0,0,0,1,1,4,0
1,1,0,0,0,0,0,0,0,0,2,1,4,1.1111111111111112
